iter	Logloss
0	0.6762694612
1	0.6614400655
2	0.6443292897
3	0.6327943847
4	0.6188992329
5	0.6020831024
6	0.5887274679
7	0.5795847415
8	0.5726788056
9	0.566758068
10	0.5627312628
11	0.5588972313
12	0.5557943373
13	0.5518951067
14	0.5474693516
15	0.5431858786
16	0.5411997183
17	0.5394372733
18	0.5374079145
19	0.5356514341
20	0.5324597903
21	0.5295967837
22	0.5282782533
23	0.5273977672
24	0.5263731329
25	0.523623597
26	0.5222697978
27	0.5222234378
28	0.5211914125
29	0.5209100868
30	0.5194425118
31	0.5182335947
32	0.5165264768
33	0.515666169
34	0.5156605265
35	0.514435065
36	0.5132857963
37	0.5116649092
38	0.5086179975
39	0.5078881477
40	0.5074142596
41	0.5066682545
42	0.506135892
43	0.5041358184
44	0.5041270825
45	0.5033313128
46	0.5023269118
47	0.5010633042
48	0.5005337157
49	0.5001652431
