iter	Passed	Remaining
0	180	8847
1	201	4846
2	223	3501
3	243	2801
4	260	2348
5	280	2058
6	300	1847
7	321	1687
8	341	1557
9	361	1447
10	375	1331
11	391	1240
12	415	1182
13	435	1120
14	455	1063
15	475	1010
16	498	966
17	518	922
18	539	879
19	552	828
20	573	791
21	596	759
22	617	725
23	641	694
24	661	661
25	681	628
26	701	597
27	711	558
28	730	528
29	749	499
30	768	470
31	787	443
32	806	415
33	826	388
34	830	355
35	842	327
36	859	301
37	878	277
38	898	253
39	917	229
40	924	202
41	946	180
42	966	157
43	985	134
44	992	110
45	1012	88
46	1031	65
47	1053	43
48	1073	21
49	1092	0
